Participant,C,P,Piece,Condition,Moving,Dynamic,Alive,Metallic,Spiky,Travelling,Mechanical,Moist,Chaotic,Threatening,Warping,Chronological,Aggressive,Unfinished,Near,Textured,Engulfing,Static,Violent,Detailed,Hollow,Scratching,Light,Expanding
1,1,A,Tree,Combo,31,73,5,0,0,0,0,5,11,65,68,54,8,0,53,100,37,3,18,80,0,28,7,5
1,1,F,Plate,Combo,64,100,69,58,20,70,100,75,10,0,16,30,0,35,100,70,81,0,0,69,0,0,18,26
1,1,N,Smooth,Object,6,6,0,0,0,0,0,21,0,0,8,41,0,0,18,50,10,82,0,15,0,0,10,0
1,1,P,Rough,Object,18,77,9,0,16,25,0,34,65,0,15,42,0,0,53,100,39,0,0,100,0,9,40,68
2,3,A,Tree,Combo,0,17,27,0,0,41,0,0,0,0,0,0,0,0,6,55,57,1,20,90,20,26,4,20
2,3,G,Plate,Object,67,73,42,7,0,86,0,0,75,2,1,14,0,0,32,0,1,1,19,91,7,1,21,46
2,3,M,Rough,Combo,0,56,50,36,49,28,52,66,86,34,62,0,35,87,1,86,8,50,58,65,4,65,1,60
2,3,N,Smooth,Object,0,2,5,0,0,0,0,72,0,0,0,4,0,12,13,65,6,1,21,39,0,0,0,34
3,3,A,Tree,Combo,0,12,11,3,6,16,9,0,0,6,6,20,5,68,8,70,10,4,0,20,4,32,21,21
3,3,G,Plate,Object,7,15,11,66,17,88,23,17,57,2,18,32,19,20,35,14,35,18,2,87,73,22,19,7
3,3,M,Rough,Combo,3,57,40,25,59,31,57,70,91,65,49,10,53,85,5,79,67,56,66,68,5,74,5,25
3,3,N,Smooth,Object,3,3,3,3,1,13,3,63,1,2,19,4,2,83,16,4,4,4,3,4,4,4,4,5
4,5,B,Tree,Object,11,14,40,7,28,14,1,9,1,2,5,8,13,49,48,65,4,98,4,73,13,14,3,3
4,5,F,Plate,Combo,20,28,6,39,2,66,17,2,39,1,21,21,1,38,3,28,1,25,1,65,1,2,31,31
4,5,M,Rough,Combo,2,28,30,2,51,2,46,47,59,59,41,3,42,26,27,72,6,7,44,44,3,40,45,8
4,5,N,Smooth,Object,7,9,9,3,3,2,2,42,1,2,17,18,18,33,34,48,3,38,2,36,2,4,34,34
5,5,B,Tree,Object,1,0,76,0,0,0,0,28,2,13,21,5,12,47,35,66,13,76,50,10,0,0,0,4
5,5,F,Plate,Combo,6,38,4,99,0,69,82,0,56,20,45,63,1,0,0,51,45,35,0,77,52,36,28,56
5,5,M,Rough,Combo,10,32,64,22,62,2,15,65,76,67,16,7,54,45,8,67,15,68,70,25,0,24,10,38
5,5,N,Smooth,Object,0,0,0,0,0,0,1,57,8,43,17,0,0,68,52,16,33,97,7,24,2,45,23,39
6,1,A,Tree,Combo,50,62,81,0,6,0,0,0,20,0,2,10,23,32,45,45,35,65,49,69,23,64,43,25
6,1,F,Plate,Combo,35,62,28,76,0,85,0,20,5,3,32,17,2,0,56,43,25,6,0,76,0,0,47,66
